SYMBOL,overall_score,affected_pathway_score,animal_model_score,genetic_association_score,literature_score,rna_expression_score,somatic_mutation_score,druggability_score_smallmolecule,druggability_score_other_modalities,druggability_score_antibody
SLC6A11,0.056552557833267035,0.02838300743606941,0.0,0.0013168099025885267,0.019671895578334788,0.007857511582940967,0.0,0.3000000000000001,0.0,0.5000000000000001
IFNA14,0.14517513725569384,0.08485766417691783,0.0,0.01097307952218934,0.008373508486769278,0.0,0.0,0.0,0.0,0.5875
TAS2R4,0.2271675274946719,0.1867569499092396,0.0,0.028150022029876712,0.012260555555555556,0.0,0.0,0.0,0.0,0.5
TSPAN10,0.1846105910038143,0.0,0.0,0.1737949433615682,0.01107729956830168,0.0003655979312018218,0.0,0.0,0.0,0.35
PLAAT3,0.13432664750625506,0.026271672282912217,0.09558011916040073,0.0005662920734574718,0.009006010670296143,0.005392897553205111,0.0,0.5499999999999999,0.0,0.35
OR2T29,0.5273325961798262,0.5273325961798262,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.4666666666666666
AEN,0.1097375374444192,0.0,0.0,0.10107580490013654,0.009500002934198372,0.0001947071981102402,0.0,0.0,0.0,0.0
PITPNA,0.2386112469675481,0.011443386198874271,0.2210778969618624,0.003848595204212332,0.0036572613933700438,5.351382773341916e-05,0.0,0.55,0.0,0.0
PNRC2,0.11935866156662076,0.0,0.04879020467836257,0.061524319413461176,0.008204093567251464,0.002971622854913927,0.0,0.6999999999999998,0.0,0.0
LPCAT1,0.16119552938203102,0.018463302168960773,0.12805699918117364,0.004765347131771969,0.011490869292430782,0.002651949267588792,0.0,0.0,0.0,0.5666666666666667
NGDN,0.13066460195297466,0.0,0.0,0.10862404795793387,0.017505125414268276,0.004535428580772522,0.0,0.0,0.0,0.0
ZNF236,0.2418371857055617,0.07363545,0.09429244444444444,0.0706963422894478,0.004262222222222223,0.00027989341611388285,0.0,0.0,0.0,0.0
KRTAP5-1,0.20232249855422213,0.16641109084515365,0.0,0.03618998710925762,0.0,0.006044854725729445,0.0,0.0,0.0,0.0
MT-RNR2,0.03618078073276501,0.0,0.0,0.008130081300813009,0.028540253658046962,0.00025108079466315184,0.0,0.0,0.0,0.0
KRTAP19-5,0.3475184879408755,0.3466583127402964,0.0,0.0,0.0,0.0008601752005790403,0.0,0.0,0.0,0.0
PLAAT1,0.08033842289096185,0.048768099027432905,0.0,0.0172171322007974,0.004321192951916292,0.012183058139452502,0.0,0.0,0.0,0.3499999999999999
PIWIL4,0.052188105363982835,0.02610252577200077,0.0,0.0006725050970516372,0.02750653031014855,0.0010124093463107088,0.0,0.0,0.0,0.0
ZNF32,0.0936848877020358,0.0,0.02949754398185941,0.041345621777905364,0.021806444285155355,0.0010352776571156991,0.0,0.0,0.0,0.0
STH,0.06557577715302215,0.0,0.0,0.04798350583816929,0.0196680265712573,0.0,0.0,0.0,0.0,0.0
AL049844.3,0.27546028047800064,0.0,0.0,0.27546028047800064,0.0,0.0,0.0,0.0,0.0,0.0
CTSW,0.11445154029734066,0.021554413618587214,0.0,0.08352857717422607,0.007474125370661084,0.0035636399567338904,0.0,0.0,0.0,0.5
DNAJA1,0.07703941330162847,0.0,0.04066113095238096,0.02176652012430892,0.014111080495430412,0.002799818057232225,0.0,0.30000000000000004,0.0,0.0
PTBP3,0.06028813395843986,0.0,0.0,0.015332709415815769,0.0407236615442672,0.004231762998356889,0.0,0.0,0.0,0.0
SLC23A3,0.112167553317209,0.0,0.0,0.10110917389818712,0.0010761904761904762,0.0099821889428314,0.0,0.0,0.0,0.3499999999999999
PEF1,0.1196682058364188,0.0,0.0,0.11324823430858184,0.005710000000000001,0.0007099715278369413,0.0,0.0,0.0,0.6999999999999998
PFKL,0.05479811504781462,0.031709508922363204,0.0,0.008933592158266241,0.017023221607858845,0.00040219043252913433,0.0,0.0,0.0,0.65
MBNL3,0.14291332403261464,0.0,0.1322731105653049,0.0,0.005331936498959248,0.0055742823887696405,0.0,0.0,0.0,0.0
IDNK,0.15700353401534933,0.0,0.14208716934366342,0.006764533929526806,0.003361111111111112,0.004790719631047983,0.0,0.0,0.0,0.0
THYN1,0.1047806244549294,0.0,0.0,0.09601459548000194,0.004125,0.004641028974927443,0.0,0.0,0.0,0.0
SLC31A1,0.04653058281402687,0.0,0.008605581395348838,0.010553581300083287,0.02701033451756199,0.0007586413384643365,0.0,0.0,0.0,0.4666666666666667
AC021660.3,0.16841952999432885,0.0,0.0,0.16841952999432885,0.0,0.0,0.0,0.0,0.0,0.0
PPP1R7,0.03337264798076001,0.0,0.0,0.013323341496288776,0.013708709750566898,0.0074843467339043455,0.0,0.0,0.0,0.0
CTAGE6,0.18389000000000005,0.0,0.18389000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.35
AC005154.5,0.1116251852363348,0.0,0.0,0.1116251852363348,0.0,0.0,0.0,0.0,0.0,0.0
RPRD1B,0.036664578423287325,0.0,0.0,0.008104900866746902,0.02786201298502329,0.0006976645715171449,0.0,0.0,0.0,0.0
